User Input,Chatbot Response,Timestamp
hi,Hi there!,2025-03-12 18:35:14
how are you,Hello!,2025-03-12 18:35:25
music,What’s your favorite type of music?,2025-03-12 18:35:30
fonk,I hope things get better soon.,2025-03-12 18:35:36
hello,Hello!,2025-03-12 18:35:43
goodbye,Take care!,2025-03-12 18:35:49
goodbye,Have a great day!,2025-03-12 18:35:54
goodbye,Goodbye!,2025-03-12 18:35:56
goodbye,Take care!,2025-03-12 18:35:57
goodbye,Take care!,2025-03-12 18:36:00
goodbye,Have a great day!,2025-03-12 18:36:02
goodbye,Have a great day!,2025-03-12 18:36:03
goodbye,Goodbye!,2025-03-12 18:36:04
goodbyee,Want to talk about it?,2025-03-12 18:36:05
goodbyeee,I hope things get better soon.,2025-03-12 18:36:06
goodbyeeeee,I hope things get better soon.,2025-03-12 18:36:06
goodbyeeeeee,I’m sorry to hear that.,2025-03-12 18:36:06
goodbyeeeeeee,I’m here for you.,2025-03-12 18:36:06
goodbyeeeeeeeeeee,Want to talk about it?,2025-03-12 18:36:07
goodbyeeeeeeeeeeee,I’m sorry to hear that.,2025-03-12 18:36:08
goodbyeeeeeeeeeeeee,I hope things get better soon.,2025-03-12 18:36:08
goodbyeeeeeeeeeeeeee,I’m here for you.,2025-03-12 18:36:08
goodbyeeeeeeeeeeeeeee,I’m here for you.,2025-03-12 18:36:08
goodbyeeeeeeeeeeeeeeee,I hope things get better soon.,2025-03-12 18:36:09
goodbyeeeeeeeeeeeeeeeee,I’m sorry to hear that.,2025-03-12 18:36:09
goodbyeeeeeeeeeeeeeeeeee,Want to talk about it?,2025-03-12 18:36:09
goodbyeeeeeeeeeeeeeeeeeee,I’m sorry to hear that.,2025-03-12 18:36:09
goodbyeeeeeeeeeeeeeeeeeeee,I hope things get better soon.,2025-03-12 18:36:09
